true_label,predicted_label,confidence,text_preview
negative,positive,0.972,"Maureen O'Hara is always beautiful and appealing. Here she plays an actress terminally ill. We don't know with what.It is a bit of a precursor to ""Love Story"" in that respect.<br /><br />William Bendi..."
positive,negative,0.969,The writers of lost have outdone themselves. Season two's finale is even more heartbreaking and intense than the finale for season one. Locke's lack of faith has not only resulted in spiritual consequ...
negative,positive,0.969,"Going into the movie with the right expectations, I somewhat liked this movie. Like most reviewers who have seen this movie, I fully agree that the plot was razor thin, clichéd, and I could predict ev..."
negative,positive,0.969,Ha ha. - oh no - what to say about this film? Yes - green eggs and ham makes more sense than this movie. Where does one start? A lot of the good stuff has already been said - so I won't divulge into t...
positive,negative,0.967,Being a fan of time travel stories I was surprised that there was no 'device' that sent Russell Johnson's character through time. He just appeared in 1865. It was a disappointing part of the episode. ...
positive,negative,0.967,"Done on a spare change budget of twenty bucks tops, this cheapie thirteen minute short cheerfully parodies George Lucas' legendary '77 sci-fi blockbuster ""Star Wars"" in the most infectiously dumb way ..."
positive,negative,0.965,"The various Law & Order and CSI franchises had better be glad Dolomite doesn't pass through. The lady cops,ADAs,and coroners would all be enthralled and the males be subject to such soul shivering,bad..."
negative,positive,0.964,"I checked out this video expecting to like it. Wanting to like it. I like foreign films, I like beautiful cinematography, I know the critics liked this film (including my favorite, Roger Ebert), and I..."
positive,negative,0.964,"This one started excellently. The photography and audio are the best I've experienced in years (okay, months). Especially the use of 'warm' and 'cold' colours in single sequences is astonishing. Also,..."
negative,positive,0.962,Greyfriars Bobby was NOT a westie - Bobby was a skye terrier. A highlight of my childhood day trips to Edinburgh was to go to the monument to Bobby. I grew up with the story of the valiant and loyal l...
positive,negative,0.959,"The movie was great and everything but, there were a lot of mistakes in the ""soccer"" scenes, i wonder if any of the guys who were working on the movie have ever seen a soccer match before..? first of ..."
positive,negative,0.958,i watch this film with horror in my heart because my mother also was a crack head like Michelle. i've been wondering where Michelle is now. there has been times where i had to find my mother in places...
positive,negative,0.954,"Bears about as much resemblance to Dean Koontz's novel as Jessica Simpson does to a rocket scientist. If you've read the book, I suggest you put it as far out of your mind as possible before watching ..."
negative,positive,0.954,"It's exactly what the title tells you...an island inhabited by fishmen. Shipwrecked doctor Claudio Cassinelli and crew land on the island, they're either picked off by the fishmen or roped into workin..."
positive,negative,0.954,"Every episode I saw when I was an innocent child was stupid. There were some funny looking puppets called ""The Mitts"" who would always discuss childhood things. They would play this song before ""The M..."
positive,negative,0.953,I remember seeing this film in the mid 80's thought it a well paced and well acted piece. I now work quite often in Berkeley Square and the had to get a copy of DVD to remind myself how little the are...
positive,negative,0.952,"This was one of the few shows that my wife and I agreed on watching. I was upset to hear that it was canceled, especially because I didn't realize the ratings were so poor. As far as I knew it was doi..."
negative,positive,0.952,"""Paranormal State"" is an interesting show for most paranormal believers. I enjoy watching what the ""team"" has to say and what they ""find"", however, I know that the entire show along with it's build up..."
positive,negative,0.952,What exactly do people expect when they watch an Al Adamson film? Are they expecting classic cinema that is wonderful beyond belief and will leave them with lasting memories? You'd think so by some of...
positive,negative,0.951,OK...i have seen just about everything....and some are considered classics that shouldn't be ( like all those Halloween movies that suck crap or even Steven king junk).......and some are considered ju...
negative,positive,0.95,"I'm a Boorman fan, but this is arguably his least successful film. Comedy has never been his strong suit, and here his attempts at screwball farce are clumsily done. Still, it's almost worth seeing fo..."
negative,positive,0.95,"Purchased this film for one dollar and figured I could never go wrong, my big mistake was watching it. Enjoyed the acting of Ice-T and the rapping which gave lots of class to this film about Los Angel..."
negative,positive,0.947,"Early 1950s Sci-Fi directed by Lesley Selander. Special effects of course are very primitive, but pretty good in comparison to what else was out there then. Drive-in Movie double feature fare; still i..."
negative,positive,0.945,"This is one of those films with a great potential. Brilliant actors, a debut from a very interesting director and a haunting ""Survivor""-ish plot.<br /><br />But it does not work at all.<br /><br />To ..."
negative,positive,0.945,Getting Eaten By A Bunch Of Snakes Is More Entertaining Than This Film Getting Eaten By A Bunch Of Snakes Is More Entertaining Than This Film Getting Eaten By A Bunch Of Snakes Is More Entertaining Th...
negative,positive,0.942,"I like Steve Buscemi. I like his work very much, both as an actor and a director. You could say that I am -into- Steve Buscemi. A Steve Buscemi freak. I lurv Steve Buscemi.<br /><br />I remember when ..."
positive,negative,0.942,"Rickman is sexy and good, but the ""stranger"" is less convincing - Reedus is sort of sexy, but he is not a consistent actor - this could be the director's fault in this case - we are supposed to find h..."
negative,positive,0.941,"These days, Ridley Scott is one of the top directors and producers and can command huge sums to helm movies--especially since he has films like ALIEN, GLADIATOR and BLADE RUNNER to his credit. So from..."
positive,negative,0.941,"Overall, the Dad's Army movie is very funny, although the humour isn't quite as catchy and sparkly as in the TV and radio series. So where does this leave us, the viewers? If you've never seen Dad's A..."
negative,positive,0.94,"If you never have read the book and never intend to read it in the future, go on and watch the movie (6/10). It is a nice fantasy movie with well done CGI, nice acting, a beautiful environment and an ..."
positive,negative,0.937,"I've been a huge fan of the Cky videos, Jackass, and Viva La Bam for a long time. They've had a great run and I expected my laughter to end, eventually. But, it hasn't yet. This movie kept my mouth op..."
positive,negative,0.937,"And that's saying a lot. Rent this if you want to be staggered by oddness, blown away by one of the most bizarre scripts, direction, and casting in the history of films. I'm staggered. I can't believe..."
positive,negative,0.936,"i was having a horrid day but this movie grabbed me, and i couldn't put it down until the end... and i had forgotten about my horrid day. and the ending... by the way... where is the sequel!!!<br /><b..."
positive,negative,0.935,"I thought this movie was really good. It ends up showing the viewers in the end that Leila should of kept what she had. Leila was sick of her husband Jim, who was more worried about work then her. He ..."
negative,positive,0.934,"I am sitting here watching the film, Tango and Cash. IT led to a discussion about other great late 80s movies. The ridiculous Tunrer and Hooch, K9 connection came up.<br /><br />Granted I have never s..."
negative,positive,0.931,"Eddy Murphy and Robert De Niro should be a combination that results in a great comedy. Great expectationa often lead to dissapointment, and this proves to be the case.<br /><br />When Eddy as a police..."
negative,positive,0.93,"Is there anything else on earth to be more enticing than to learn what expects our frail bodies after, um, death. Spanish director Ignacio Cerdà (a soul-mate of his German colleague Jörg Buttgereit) p..."
positive,negative,0.927,"Yeah, I guess this movie is kinda dull compared to some of Pam Grier's other films. The plot is overly familiar, the dialog stilted, and some of the acting isn't too good. But it's worth seeing for th..."
positive,negative,0.925,"This was easily one of the weirder of the Ernest movies, especially in regards to the production design. What was up with the pink guard uniforms? Sadly, this film probably destroyed the Ernest series..."
negative,positive,0.922,"I'm afraid I did not like this adaptation. When I started watching it I had a strange feeling of watching some 70s TV series, due to the filter and the musical score. I did not like the end scene. Mr ..."
positive,negative,0.921,"so. i was completely in love with this movie. gaga for it, even with all its plot twists...but the one thing i found really disturbing was the connection between the two best friends in Tim and Kyle. ..."
positive,negative,0.921,"I'm going to make this short and sweet. It's not surprising that you had no use for this film. This is a story about the power, beauty and possibilities inherent in a meaningful education. Based on yo..."
negative,positive,0.92,"i wrote an essay in 1981, the year i graduated high school called the ""last American virgin."" i also had a friend named nancy who was the prostitute in this film. apparently her daughter got a hold of..."
negative,positive,0.918,"I have seen both the MST3K version and the uncut version. I rather enjoyed it. Either way, it wasn't that bad of a movie. Sure it moved a bit slow at times. I liked it.<br /><br />As far as MST3K goes..."
negative,positive,0.916,"I used to always love the bill because of its great script and characters, but lately i feel as though it has turned into an emotional type of soap. If you look at promotional pictures/posters of the ..."
positive,negative,0.916,"Yes, it is a bit cheesy. But it's suspenseful and entertaining, and one of my favorites; there are some excellent actors in the film, and they do a commendable job given the limitations of plot and ch..."
negative,positive,0.915,"The acting in this film was of the old school: corny and stiff. Irene Dunne is luminous, and comes off the best even though she has some very unnatural lines to say. Still, her ability to convey emoti..."
positive,negative,0.91,"Todd Sheets has created one of the greatest LOW BUDGET Zombie movies EVER. The story is great, the gore is grand, the psychos are wicked! Yet the movie is flawed by its petty dialogue and sluggish ima..."
negative,positive,0.909,"The CinemaScope color cinematography of Leon Shamroy is quite remarkable here,including his use of colored filters for<br /><br />various scenes. The Alfred Newmann Score has to be the most sensual an..."
positive,negative,0.909,"When I watched L'Appartement with my girlfriend, she sighed: ""How complicated!"" And she is right, of course. When you are used to simple, one-linear plots, especially violent hero vs crook schemes, L'..."
positive,negative,0.907,"_The Wild Life_ has an obvious resemblance to _Fast Times At Ridgemont High_, and _The Wild Life_ comes up short.<br /><br />------------ <br /><br />Some other stan wrote the above comment. Of course..."
negative,positive,0.907,"Earnest effort which achieves some success to adapt the classic Odyssey story to a '30's nostalgia period piece. The adventurers this time are escaped convicts, wandering about the Depression afflicte..."
positive,negative,0.899,"Less Than Zero could have been the 80s movie that reveals teenage apathy in its most extreme form had they actually stuck to the damn book. But, where they hadn't, this movie presents does the job, an..."
positive,negative,0.895,"If you want to really terrify people, choose the Devil as your subject. After all, a good deal of the population believe that he is real. Therefore you are plugging into a whole meaty swathe of pre-ex..."
negative,positive,0.892,"I picked out this DVD out of the cheepo bin at Walmart because the cover showed one of the planes I flew during Viet-Nam (C-123k). I did not fly for Air America, but knew being a C-123 pilot, I knew a..."
positive,negative,0.889,"Well, the movie did turn out a lot better than i expected. It's not boring and it's not unoriginal. It's really not a silly romantic comedy. The situations the characters put themselves in are very un..."
negative,positive,0.888,It is playing on SHOWTIME right now but is going to be released as a movie called THREE or has been released for 2006. Mess ups include a supposed nude body comes out of the waves with her bottoms on....
positive,negative,0.883,"This isn't among my favorite Hitchcock films, though I must admit it's still pretty good. Among the things I really liked were the presence of Jimmy Stewart (he always improves even the most mediocre ..."
positive,negative,0.883,"What do you mean son of actor, not an actor. You don't become an actor just because your daddy is a superstar---it doesn't work that way, not in UK at any rate.<br /><br />Macbeth (this version) is a ..."
negative,positive,0.878,"Each year the company called Nu produces couple of ""action packed"", ""full of suspense"" movies. This little nugget, called Shadowcaster III(Until I visited this site I wasn't avare this is a whole tril..."
positive,negative,0.877,"I first saw this on Thames television and loved it. I subsequently saw a dreadful write-up by someone who certainly hadn't watched or listened to it. So, I bought a copy and then I bought another copy..."
negative,positive,0.875,"The core issues at play (God & Satan / Good & Evil) can be & should be tremendously compelling (as demonstrated through thousands of works of art/music/literature/film). End of Days, unfortunately, is..."
positive,negative,0.864,"Years ago, I didn't love and respect the films of Jimmy Cagney nearly as much as I do now. I noticed that many of Cagney's films done with Warner Brothers in the 1930s lacked realism and his acting st..."
positive,negative,0.864,"Although copies of this movie are hard to find, if you can find it, get it!! !!! I believe this was, aside from In The Navy, Abbott and Costello's only musical. Although they twisted the plot around a..."
positive,negative,0.863,"Sex, drugs, racism and of course you ABC's. What more could you want in a kid's show!<br /><br />------------------------------------------- -------------------------------------------<br /><br />""Use..."
positive,negative,0.861,"Paul Bettany did a great role as the tortured father whose favorite little girl dies tragically of disease. For that, he deserves all the credit. However, the movie was mostly about exactly that, keep..."
positive,negative,0.859,"""Lights of New York"" originally started out as an experimental two reel Vitaphone short that eventually snowballed into the first all talkie feature film. Helene Costelle was supposedly one of the mos..."
positive,negative,0.854,"This movie took me by surprise. I first saw it more than 10 years ago, and it stays with me still. It's got it's just plain boring points, and I, personally, would have ended it differently- this has ..."
positive,negative,0.852,"Great cult flick for MST-3K types: Richard Boone is a mess -- bad hair, arthritis, even his dark glasses aren't right; about as good as a bad dino-flick can get... actually, that charging saber-toothe..."
negative,positive,0.85,Harmony Korine. I'm not sure what he was trying to do with this film. If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.<br /><br />I know that there ...
negative,positive,0.846,I saw this film when it came out. Let me see now--this guy who had earlier skied down Mount Fuji manages to accumulate the funding and hire personnel to document what sounds on the surface like a bold...
negative,positive,0.841,"Bela Lugosi as God? Transvestites discussed in a movie in the straight-laced 1950s? By golly, this must be an Ed Wood film.<br /><br />Watching this movie, I felt a combination of guilt, pleasure, and..."
positive,negative,0.836,"I don't understand why this movie has such a low rating. It totally deserves more! Sure, it's completely ridiculous, but that's what it was supposed to be. Don't expect cinematic transcendence from a ..."
negative,positive,0.835,There are so very few films where just the title tells you all you need to know about the film. Such a film is I Was A Communist For The FBI. Another example would be I Married A Monster From Outer Sp...
negative,positive,0.834,This is the most frightening film ever made in Hollywood. It is a cautionary tale of how to take a European masterpiece and suck the life of of it until it is a dry husk like an insect carcass on the ...
positive,negative,0.834,"I read the comments about this movie before watching it and wasn't expecting much, but as a B movie it's a curiosity. I guess you have to be a certain type of person to enjoy this kind of thing, but I..."
negative,positive,0.813,"Without saying how it ended, it is sufficient to say that the whole thing degenerates from about five minutes before the end. If the standard had been maintained throughout, the movie would be worth a..."
positive,negative,0.809,"Last night, I saw A PECK ON THE CHEEK (KANNATHIL MUTHAMITTAL with English subtitles). Oddly, it was 137 minutes long--slightly longer than the time listed on IMDb.<br /><br />At first, I found myself ..."
positive,negative,0.808,There is a serious scene in this movie. A scene that lets you know that his film won't be pulling many cheap punches. It takes place in a crowded train station and the protagonists are ambushed by ass...
positive,negative,0.805,One night I was listening to talk radio and they had Leslie Nielsen on the program. He went on to explain why there were only 6 shows. '<br /><br />With TV shows like MASH you could go to the fridge t...
positive,negative,0.798,Some will say this movie is a guilty pleasure. I loved this flick but I don't feel guilty about it. You can tell the whole cast and crew had fun making this movie. But Jack Frost 2 won't go over well ...
positive,negative,0.794,"While possibly the stupidest, most tasteless, and violent slapstick comedy ever made, Guest House is also a very funny one. Don't listen to the critics, they have no sense of humour. While the climax ..."
positive,negative,0.792,You have to be awfully patient to sit through a film with one-liners so flat and unfunny that you wonder what all the fuss was about when WHISTLING IN THE DARK opened to such an enthusiastic greeting ...
negative,positive,0.792,"Coming from Kiarostami, this art-house visual and sound exposition is a surprise. For a director known for his narratives and keen observation of humans, especially children, this excursion into minim..."
negative,positive,0.791,"For a teenager who has never read Austen, this adaptation might be fine. But only for them. This is a disjointed ""Cliff Notes"" version of Mansfield Park, and if you have not seen another version or re..."
positive,negative,0.787,"I have fond memories of watching this when it came out. It's one of those films that you know is rubbish, even when you're a kid, but at that age you overlook the ludicrous acting, special effects and..."
positive,negative,0.782,"Despite later claims, this early-talkie melodrama has very little in common with ""Citizen Kane"": It's a biopic of a ruthless but human fictional plutocrat, told in flashback but hopping around time. T..."
positive,negative,0.782,"I read most of the comments here were everybody saw only the flaws of the movie. I agree, the director it's not Kuprik, the actors are not Oscar winners, but it has something everyone could relate to...."
negative,positive,0.774,"You have to hand it to writer-director John Hughes. With enormous success behind him in the misfit-teenager/high school vein, he managed to branch out into other areas of comedy, finding in the bargai..."
negative,positive,0.774,"I woke up and it was a beautiful day; the sun was shining, the birds were singing and i fancied getting a movie, something new, a horror movie perhaps? Like many other reviewers i came across what can..."
negative,positive,0.765,When the film started I got the feeling this was going to be something special. The acting and camera work were undoubtedly good. I also liked the characters and could have grown to empathise with the...
